,id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,review_scores_rating,number_of_reviews
251,3150813,135470,0,Cole,39.769307390719845,-104.96503172618596,Entire home/apt,12,2.0,2,8.0,475.0,125.0,98.0,147
252,3166947,6065807,1,Highland,39.760357696498495,-105.0181962497253,Entire home/apt,5,2.0,2,3.0,164.0,55.0,98.0,309
256,3231657,16356824,0,Union Station,39.75231895120624,-104.99801773157292,Entire home/apt,2,1.0,1,1.0,190.0,0.0,95.0,33
257,3241106,4635261,0,Sloan Lake,39.749052059937725,-105.03218915273744,Private room,2,1.0,1,1.0,75.0,0.0,80.0,1
260,3338717,16853725,1,Rosedale,39.67524712037262,-104.97746336031858,Entire home/apt,3,1.0,1,1.0,90.0,50.0,97.0,74
261,3341556,16865529,0,City Park West,39.749987880878265,-104.97250226458351,Entire home/apt,2,1.0,1,1.0,50.0,0.0,96.0,10
265,3395085,17128411,0,Sunnyside,39.78329255295208,-105.023589795114,Private room,4,1.0,2,2.0,71.0,35.0,97.0,35
266,3404692,9599078,1,Whittier,39.75797261542401,-104.96678974486493,Entire home/apt,6,2.5,3,3.0,140.0,125.0,95.0,28
268,3412478,17205399,1,Sunnyside,39.772672912379214,-105.0020339065925,Private room,2,1.0,1,1.0,65.0,30.0,96.0,311
269,3424315,17260508,1,Country Club,39.720675515291106,-104.97174583424943,Private room,2,1.0,1,2.0,50.0,35.0,96.0,51
270,3425065,17264137,1,Capitol Hill,39.72787069644459,-104.98006096258062,Private room,3,1.0,1,2.0,53.0,25.0,98.0,99
271,3425074,17264137,1,Capitol Hill,39.72794678535555,-104.97890201764929,Private room,2,1.0,1,1.0,54.0,25.0,98.0,79
274,3479122,17524202,1,Five Points,39.753324090270254,-104.98809169102819,Entire home/apt,2,1.0,1,1.0,129.0,29.0,95.0,305
275,3487191,9806411,1,Baker,39.723328129678066,-104.98989159574013,Entire home/apt,4,1.0,1,1.0,125.0,50.0,98.0,154
276,3495498,17599678,1,Sunnyside,39.770759067563226,-105.02362415900005,Entire home/apt,4,1.0,2,2.0,167.0,100.0,97.0,60
277,3522681,17740251,0,Five Points,39.75859839373353,-104.97424907668909,Entire home/apt,3,1.5,2,2.0,147.0,95.0,96.0,52
280,3562277,17831791,0,University,39.6644636968313,-104.96820923859435,Private room,2,0.5,1,1.0,50.0,50.0,90.0,8
281,3593366,2591654,0,Congress Park,39.7342063028025,-104.95554070875556,Private room,2,1.0,1,2.0,70.0,0.0,99.0,27
